ipSAE,iPTM,Interface_pLDDT,PAE_Contacts_<3A,Confidence
0.38321906,0.51,72.153885,,Low
0.38291755,0.33,81.96353,134,Low
0.38178462,0.74,85.28468,3,Low
0.381783,0.43,77.667854,,Low
0.3809133,0.53,82.43399,,Low
0.38056606,0.67,81.584175,,Low
0.3799893,0.46,89.02339,3,Low
0.37907928,0.77,69.54517,11,Low
0.37879494,0.53,84.09938,,Low
0.3778332,0.48,82.79913,,Low
0.3773666,0.56,83.323586,,Low
0.3773611,0.61,77.93734,,Low
0.37682664,0.66,84.71519,,Low
0.37656727,0.74,77.0199,,Low
0.37631884,0.62,,,Low
0.37624213,0.71,80.62211,,Low
0.37612996,0.53,79.25959,,Low
0.3756923,0.55,88.13779,,Low
0.3756727,0.53,80.49729,,Low
0.37549278,0.75,83.91212,3,Low
0.37502557,0.73,85.15981,4,Low
0.3746741,0.58,77.10549,,Low
0.37441346,0.64,78.6647,,Low
0.37390724,0.55,82.85508,,Low
0.37359232,0.34,77.11592,16,Low
0.3734562,0.66,80.51063,,Low
0.37339675,0.6,81.61435,,Low
0.3729014,0.4,82.51566,3,Low
0.37239954,0.51,83.44405,,Low
0.37205532,0.77,82.33747,,Low
0.37193808,0.44,84.97823,40,Low
0.37150618,0.55,70.19294,,Low
0.3708428,0.52,81.51877,,Low
0.37083596,0.54,85.84876,,Low
0.3706965,0.66,78.5136,,Low
0.37030676,0.54,85.925285,,Low
0.37012985,0.54,86.74871,,Low
0.3686576,0.6,77.00991,,Low
0.36801034,0.33,81.4754,4,Low
0.3675729,0.46,81.94883,,Low
0.36731043,0.58,82.50697,,Low
0.36626667,0.69,76.43541,,Low
0.36468548,0.68,90.95091,6,Low
0.36453542,0.6,81.05347,,Low
0.3644546,0.65,79.12089,,Low
0.36428595,0.51,76.77144,,Low
0.3634431,0.57,82.08165,,Low
0.36336923,0.57,86.044464,,Low
0.36315212,0.52,84.18105,,Low
0.36278206,0.42,82.73779,,Low
0.3615034,0.56,84.62615,,Low
0.36142102,0.63,83.22038,,Low
0.36059296,0.7,86.68042,,Low
0.36027864,0.55,86.15023,,Low
0.35996857,0.69,83.309044,1,Low
0.35963228,0.49,82.95615,,Low
0.35897014,0.42,82.823875,,Low
0.358746,0.61,,,Low
0.35816658,0.53,82.75523,3,Low
0.35773566,0.81,81.37454,,Low
0.35697094,0.49,83.88414,,Low
0.35604703,0.54,82.37348,,Low
0.35551754,0.45,81.119225,6,Low
0.3551167,0.84,78.58825,,Low
0.3548333,0.6,,,Low
0.3546283,0.55,71.14376,,Low
0.35451832,0.62,82.405464,,Low
0.35447645,0.64,89.16761,,Low
0.35405293,0.45,74.686966,,Low
0.3540277,0.67,89.25455,,Low
0.35381702,0.54,82.770294,,Low
